date,OIL_RET,CPI_RET,USD_RET,FED_RET,IND_RET,FED_DIFF
2006-02-28,-0.05547490392957209,0.0005016303089889478,0.0033975833961211116,0.0455659688142373,0.0004215001803382235,0.20000000000000018
2006-03-31,0.0998922631068519,0.0015033828940314653,0.007892038895645034,0.02202732231829069,0.0022521146597457445,0.09999999999999964
2006-04-30,0.08818386525723636,0.00499501538052293,-0.024347306264787302,0.04265038735037022,0.0030320784432704834,0.20000000000000018
2006-05-31,-0.06558318765579685,0.002985076843453499,-0.0037843624695389866,0.030834919777007242,0.000254114556411531,0.15000000000000036
2006-06-30,0.08003132340318278,0.002480775273762845,0.004875052253027503,0.01007057856359609,0.003161409216424567,0.04999999999999982
2006-07-31,0.02095379130352982,0.005436138912260425,-0.0025345507711043154,0.048885588569523436,-0.0005127465055314873,0.25
2006-08-31,-0.09965404891823344,0.004425873956855375,-0.0036351855270683724,0.0019065782705814474,0.0043791388783339675,0.009999999999999787
2006-09-30,-0.1354334579949791,-0.004918849071596378,0.004714199425388103,0.0,-0.0016629623569391534,0.0
2006-10-31,-0.05139127640347528,-0.004447746398236365,-0.007317848155861804,0.0,-0.0011474759561266442,0.0
2006-11-30,0.1368218931700744,0.0004951720824129466,-0.0083746261952692,0.0,-0.0004204326283365999,0.0
2006-12-31,-0.08763307424310127,0.005430771185134245,0.004682639693035596,-0.0019065782705815315,0.010141747096689285,-0.009999999999999787
2007-01-31,-0.04226469006475445,0.0016579060562328177,0.009567487973568215,0.0019065782705814474,-0.00338886599431626,0.009999999999999787
2007-02-28,0.04953130421144201,0.0038708491335397678,-0.007432312266440416,0.0019029501460860636,0.009378469307673878,0.009999999999999787
2007-03-31,0.1422698311052026,0.005186647493199586,-0.009509420073845629,0.0,0.001778615449302796,0.0
2007-04-30,-0.018276116652026195,0.002996169481998037,-0.015503975646675624,-0.0019029501460860756,0.00670031990175266,-0.009999999999999787
2007-05-31,0.014031690228811865,0.004124476656924383,-0.005445196845872504,0.0,0.000955921474810443,0.0
2007-06-30,0.05756574913955457,0.002314072179458679,-0.0019335591992093225,0.0,0.0005768477837079103,0.0
